work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Analyst,51962,USD,51962,US,100,US,M
2023,SE,FT,Data Engineer,241871,USD,241871,US,0,US,M
2023,SE,FT,Data Engineer,133832,USD,133832,US,0,US,M
2023,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2023,SE,FT,Data Scientist,90000,USD,90000,US,100,US,M
2023,EX,FT,Data Engineer,210914,USD,210914,US,100,US,M
2023,EX,FT,Data Engineer,116704,USD,116704,US,100,US,M
2023,SE,FT,Data Analyst,192500,USD,192500,US,100,US,M
2023,SE,FT,Data Analyst,140000,USD,140000,US,100,US,M
2023,SE,FT,Data Scientist,149076,USD,149076,US,0,US,M
2023,SE,FT,Data Scientist,82365,USD,82365,US,0,US,M
2023,MI,FT,Machine Learning Engineer,36000,USD,36000,MX,100,MX,S
2023,SE,FT,Data Scientist,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Scientist,148750,USD,148750,US,0,US,M
2023,SE,FT,Research Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Research Scientist,200000,USD,200000,US,0,US,M
2023,SE,FT,Data Scientist,235000,USD,235000,US,100,US,M
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
2023,MI,FT,Machine Learning Engineer,100000,GBP,121523,GB,0,GB,M
2023,MI,FT,Machine Learning Engineer,80000,GBP,97218,GB,0,GB,M
2023,SE,FT,Data Scientist,216100,USD,216100,US,0,US,M
2023,SE,FT,Data Scientist,140800,USD,140800,US,0,US,M
2023,MI,FT,Machine Learning Engineer,120000,GBP,145828,GB,0,GB,M
2023,MI,FT,Machine Learning Engineer,100000,GBP,121523,GB,0,GB,M
2023,SE,FT,Computer Vision Software Engineer,50000,EUR,53654,NL,100,CA,L
2023,EN,FT,Data Scientist,110000,USD,110000,US,50,US,S
2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2023,MI,FT,Data Engineer,55000,GBP,66837,GB,100,GB,M
2023,MI,FT,Data Engineer,52000,GBP,63192,GB,100,GB,M
2023,MI,FT,Data Analyst,50000,GBP,60761,GB,0,GB,M
2023,MI,FT,Data Analyst,45000,GBP,54685,GB,0,GB,M
2023,EX,FT,Data Engineer,284000,USD,284000,US,100,US,M
2023,EX,FT,Data Engineer,236000,USD,236000,US,100,US,M
2023,SE,FT,Research Scientist,248100,USD,248100,CA,0,CA,M
2023,SE,FT,Research Scientist,145900,USD,145900,CA,0,CA,M
2023,SE,FT,Research Engineer,155850,USD,155850,US,0,US,M
2023,SE,FT,Research Engineer,102544,USD,102544,US,0,US,M
2023,MI,FT,Data Scientist,151410,USD,151410,US,100,US,M
2023,MI,FT,Data Scientist,115360,USD,115360,US,100,US,M
2023,MI,FT,Data Engineer,62000,EUR,66531,ES,100,ES,M
2023,MI,FT,Data Engineer,55000,EUR,59020,ES,100,ES,M
2023,SE,FT,Director of Data Science,170000,CAD,125686,CA,50,CA,M
2023,SE,FT,Azure Data Engineer,100000,USD,100000,NL,50,NL,L
2023,EN,FT,Data Scientist,1050000,INR,12767,IN,50,IN,L
2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M
2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M
2023,SE,FT,Data Scientist,185000,USD,185000,GB,0,GB,M
2023,SE,FT,Data Scientist,120250,USD,120250,GB,0,GB,M
2023,EN,FT,Data Engineer,25000,EUR,26827,DE,100,DE,L
2022,EN,FT,Data Scientist,180000,USD,180000,US,100,US,M
2023,MI,FT,Research Scientist,85000,USD,85000,US,0,US,M
2023,MI,FT,Research Scientist,70000,USD,70000,US,0,US,M
2023,SE,FT,BI Developer,135000,USD,135000,US,100,US,M
2023,SE,FT,BI Developer,100000,USD,100000,US,100,US,M
2023,EX,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M
2023,EX,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,142200,USD,142200,US,0,US,M
2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
2023,SE,FT,Data Engineer,133300,USD,133300,US,0,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,100,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,100,US,M
2023,SE,FT,Data Engineer,163800,USD,163800,US,0,US,M
2023,SE,FT,Data Engineer,126000,USD,126000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,163800,USD,163800,US,0,US,M
2023,SE,FT,Machine Learning Engineer,126000,USD,126000,US,0,US,M
2023,SE,FT,ML Engineer,220000,USD,220000,US,0,US,M
2023,SE,FT,ML Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M
2023,SE,FT,Data Analytics Manager,204500,USD,204500,US,0,US,M
2023,SE,FT,Data Analytics Manager,138900,USD,138900,US,0,US,M
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Engineer,107000,USD,107000,US,100,US,M
2023,EX,FT,Data Engineer,175000,USD,175000,US,0,US,M
2023,EX,FT,Data Engineer,110000,USD,110000,US,0,US,M
2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
2023,SE,FT,Data Engineer,133300,USD,133300,US,0,US,M
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,125000,USD,125000,US,0,US,M
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,0,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,0,US,M
2022,MI,FT,Research Scientist,23000,USD,23000,IN,100,IN,L
2023,MI,FT,Machine Learning Engineer,110000,USD,110000,US,100,US,L
2023,SE,FT,Data Engineer,265000,USD,265000,US,100,US,M
2023,SE,FT,Data Engineer,182750,USD,182750,US,100,US,M
2023,MI,FT,Data Analyst,130000,USD,130000,US,0,US,M
2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2023,SE,FT,Data Analyst,106800,USD,106800,US,0,US,M
2023,SE,FT,Data Engineer,137500,USD,137500,US,0,US,M
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M
2023,EX,FT,Head of Data Science,314100,USD,314100,US,0,US,M
2023,EX,FT,Head of Data Science,195800,USD,195800,US,0,US,M
2023,SE,FT,Applied Scientist,205000,USD,205000,US,0,US,M
2023,SE,FT,Applied Scientist,180000,USD,180000,US,0,US,M
2023,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
2023,SE,FT,Data Scientist,144000,USD,144000,US,100,US,M
2023,EN,FT,BI Developer,160000,USD,160000,US,0,US,M
2023,EN,FT,BI Developer,100000,USD,100000,US,0,US,M
2023,EX,FT,Data Engineer,200000,USD,200000,US,0,US,M
2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,M
2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2023,SE,FT,Data Manager,199000,USD,199000,US,0,US,M
2023,SE,FT,Data Manager,112000,USD,112000,US,0,US,M
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M
2023,EN,FT,Big Data Engineer,130000,USD,130000,SE,100,SE,S
2023,SE,FT,Data Analyst,180180,USD,180180,US,0,US,M
2023,SE,FT,Data Analyst,106020,USD,106020,US,0,US,M
2023,EN,FT,Data Engineer,160000,USD,160000,US,0,US,M
2023,EN,FT,Data Engineer,135000,USD,135000,US,0,US,M
2023,SE,FT,Data Scientist,183000,USD,183000,US,0,US,M
2023,SE,FT,Data Scientist,134000,USD,134000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2023,SE,FT,Applied Scientist,350000,USD,350000,US,0,US,L
2023,SE,FT,Applied Scientist,262500,USD,262500,US,0,US,L
2023,SE,FT,Data Analyst,122000,USD,122000,US,0,US,M
2023,SE,FT,Data Analyst,94000,USD,94000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,276000,USD,276000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,184000,USD,184000,US,0,US,M
2023,EX,FT,Data Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Data Engineer,239000,USD,239000,US,100,US,M
2023,SE,FT,Data Scientist,225000,USD,225000,US,100,US,M
2023,SE,FT,Data Scientist,156400,USD,156400,US,100,US,M
2023,MI,FT,Machine Learning Engineer,180000,USD,180000,US,100,US,M
2023,MI,FT,Machine Learning Engineer,150000,USD,150000,US,100,US,M
2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M
2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M
2023,SE,FT,Data Scientist,209450,USD,209450,US,100,US,M
2023,SE,FT,Data Scientist,158677,USD,158677,US,100,US,M
2023,SE,FT,Data Analyst,175000,USD,175000,US,0,US,M
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M
2023,SE,FT,Data Engineer,240000,USD,240000,US,0,US,M
2023,SE,FT,Data Engineer,170000,USD,170000,US,0,US,M
2023,MI,FT,Data Analyst,103200,USD,103200,US,0,US,M
2023,MI,FT,Data Analyst,61200,USD,61200,US,0,US,M
2022,MI,FT,Data Scientist,155000,USD,155000,US,100,US,L
2021,EN,FT,Marketing Data Engineer,90000,SGD,66970,SG,50,SG,L
2023,SE,FT,Data Scientist,59000,EUR,63312,CY,50,EE,L
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M
2023,SE,FT,Data Scientist,240000,USD,240000,US,100,US,M
2023,SE,FT,Data Scientist,139000,USD,139000,US,100,US,M
2023,SE,FT,Data Architect,174500,USD,174500,US,0,US,M
2023,SE,FT,Data Architect,113000,USD,113000,US,0,US,M
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M
